label,tweet,sentiment
happy,pengin gudeg mbarek bu hj amat foto dari google sengaja biar teman teman juga membayangkannya berbagi itu indah,pos
happy,sharing pengalaman saja kemarin jam batalin tiket di stasiun pasar senen lancar antrian [not] terlalu rame menitan dan beress semua mungkin bisa dicoba twips di jam jam segitu cc [username],pos
happy,sharing sama teman tuh memang guna banget disaat lu merasa masalah lu berat banget ternyata teman kita sendiri punya masalah lebih berat dari kita malah masalah kita enggak ada apa-apanya dibanding masalah dia,pos
sadness,orang lain kalau pakai ponco itu buat jas hujan nah dia pakai buat kasur ya tadi gara-gara saking enggak punya apa-apa mamak bilang kami tuh di awal pernikan enggak ada ngalamin bulan madu kayak skrg2 orang tidur nya saja pakai ponco gimane mau bulan madu,neg
sadness,pulang sudah h lebaran dilema sekali seperti [not] bisa melakukan apa-apa dirumah se [not] lebaran buka puasa bareng cuman hari sama keluarga begitu juga sahur,neg
happy,sangat bersyukur bisa mendoakan kakeknya bung karno bersama anak anak yatim piatu [username] h,pos
sadness,sulit menerima kenyataan memang bahwa ada sebagian yang menganggap ketika kita berinteraksi dengan satu orang dari satu golongan tertentu kita langsung mengatakan golongan tertentu sesaat [not] kita mempelajari secara utuh dan mengklaim diri kita paling benar,neg
love,setiap kesempatan yang pernah hadir untuk dapat membuatmu selalu merasa aman dan nyaman kini jadi suatu kehormatan yang pernah didapat,pos
happy,h mau ke bank rame banget sampai antrian tempat duduknya ada diluar toko emas meluber sampai enggak kelihatan mbak2nya yang jualan ke swalayan antrian kasir naudzubilah panjang benar pada bahagia semua kayaknya semoga oh semoga rs sepi pasien pada sembuh dan pulang untuk berbahagia,pos
sadness,separuh hati ini iri jika melihat seorang anak yang masih bisa duduk atau berjalan bersama ibundanya dan separuh hati ini turut berempati melihat seorang anak yang begitu gundah saat ibundanya sakit yang sabar ya kawan semoga allah memberikan yang terbaik untuk kita semua,neg
happy,ketika aku tersenyum [not] berarti hidupku sempurna aku hanya mensyukuri apa yang aku punya dan apa yang telah tuhan berikan untuk ku,pos
sadness,dari mau tidur tidur sampai bgn tidur kok ya kayak merasa aneh enggak enak hati sudah dibawa istighfar masih saja bgn tidur kayak sedih kayak mikir enggak puguh ini kenapa banget coba [neg],neg
love,kan kupeluk engkau erat2 hingga [not] ada seorang pun yang bisa merebut mu dari pelukan ku happy anniversary sayang,pos
happy,sukses n keren banget dengan no kualitas bahan krja itu cita-cita punya agar warisan sampai ke cu2 sukses tims bbpjn6 barokah terlimpahkan,pos
fear,hari ini jadwal presentasi proker di lppm karena ada praktikum jadinya pak ketua di temani sekretaris tapi selaku penanggung jawab ada di sekretaris jadi deg deg an ini bismillah pak ketua btw pengin upload foto pak ketua tapi [not] dulu ya,neg
fear,drama kemarin sore seharian puasa terus pas lagi mandi kaget bcz kedatangan tamu [not] diundang pas banget woi pas lagi adzan maghrib terus jadi galau dong seharian itu dianggap sah puasa apa enggak,neg
sadness,sungguh mencintaimu berat sekali berpisah denganmu apalagi [username] selalu bikin bawa perasaan tapi sukses melupakan laper [url],neg
happy,pada akhirnya kita akan melewati semua ini semua yang dulu kita bayangkan betapa sulitnya kita lalui juga di akhir kita hanya bisa belajar belajar dan belajar memetik semua hikmah yang bisa kita petik mempersiapkan untuk kedepan,pos
