,emot,score,sentiment
0,^^v,4,pos
1,^_^,4,pos
2,xp,-4,neg
3,^^V,4,pos
4,xd,2,pos
5,xo,2,pos
6,d:,-4,neg
7,o.o,-3,neg
8,o_o,-3,neg
9,x(,-4,neg
10,x-(,-4,neg
11,^^,4,pos
12,}:),-4,neg
13,;),4,pos
14,%-),3,pos
15,%-(,-3,neg
16,(:,3,pos
17,(-:,3,pos
18,(o;,3,pos
19,(o:,3,pos
20,;)),4,pos
21,)-:,-3,neg
22,")"":",-5,neg
23,*_*,-2,neg
24,):,-3,neg
25,"--""",-4,neg
26,--,-3,neg
27,(^ ^),4,pos
28,":""(",-5,neg
29,0:),3,pos
30,;);),4,pos
31,:'(,-3,neg
32,:#,-2,neg
33,;o),3,pos
34,:(,-3,neg
35,:'),3,pos
36,:(((,-4,neg
37,:((,-4,neg
38,:)),4,pos
39,:),3,pos
40,^^v,4,pos
41,^_^,4,pos
42,xp,-4,neg
43,^^V,4,pos
44,xd,2,pos
45,xo,2,pos
46,d:,-4,neg
47,o.o,-3,neg
48,o_o,-3,neg
49,x(,-4,neg
50,x-(,-4,neg
51,^^,4,pos
52,}:),-4,neg
53,;),4,pos
54,%-),3,pos
55,%-(,-3,neg
56,(:,3,pos
57,(-:,3,pos
58,(o;,3,pos
59,(o:,3,pos
60,;)),4,pos
61,)-:,-3,neg
62,")"":",-5,neg
63,*_*,-2,neg
64,):,-3,neg
65,"--""",-4,neg
66,--,-3,neg
67,(^ ^),4,pos
68,":""(",-5,neg
69,0:),3,pos
70,;);),4,pos
71,:'(,-3,neg
72,:#,-2,neg
73,;o),3,pos
74,:(,-3,neg
75,:'),3,pos
76,:(((,-4,neg
77,:((,-4,neg
78,:)),4,pos
79,:),3,pos
80,%-(,-3,neg
81,%-),3,pos
82,(-:,3,pos
83,(:,3,pos
84,(^ ^),4,pos
85,(^-^),4,pos
86,(^.^),4,pos
87,(^_^),4,pos
88,(o:,3,pos
89,(o;,3,pos
90,")"":",-5,neg
91,)-:,-3,neg
92,):,-3,neg
93,*_*,-2,neg
94,*___*,-3,neg
95,--,-3,neg
96,"--""",-4,neg
97,0:),3,pos
98,":""(",-5,neg
99,:#,-2,neg
100,:'(,-3,neg
101,:'),3,pos
102,:(,-3,neg
103,:((,-4,neg
104,:(((,-4,neg
105,:((((,-5,neg
106,:(((((,-5,neg
107,:((((((,-5,neg
108,:(((((((,-5,neg
109,:),3,pos
110,:)),4,pos
111,:))),4,pos
112,:)))),5,pos
113,:))))),5,pos
114,:)))))),5,pos
115,:))))))),5,pos
116,:*,5,pos
117,:-&,-2,neg
118,:-(,-4,neg
119,:-),4,pos
120,:-*,5,pos
121,:-/,-3,neg
122,:-@,-2,neg
123,:-\,-3,neg
124,:-d,2,pos
125,:-o,2,pos
126,:-p,-4,neg
127,:-s,-2,neg
128,:-|,-2,neg
129,:-},2,pos
130,:/,-2,neg
131,:3,3,pos
132,:9,4,pos
133,:[,-2,neg
134,:\,-2,neg
135,:],3,pos
136,:_(,-4,neg
137,:b),4,pos
138,:c,-4,neg
139,:d,3,pos
140,:e,-3,neg
141,:f,-3,neg
142,:o,-2,neg
143,:o(,-3,neg
144,:o),3,pos
145,:p,-4,neg
146,:s,-3,neg
147,:v,-4,neg
148,:x,-3,neg
149,:|,-2,neg
150,%-(,-3,neg
151,%-),3,pos
152,(-:,3,pos
153,(:,3,pos
154,(^ ^),4,pos
155,(^-^),4,pos
156,(^.^),4,pos
157,(^_^),4,pos
158,(o:,3,pos
159,(o;,3,pos
160,")"":",-5,neg
161,)-:,-3,neg
162,):,-3,neg
163,*_*,-2,neg
164,*___*,-3,neg
165,--,-3,neg
166,"--""",-4,neg
167,0:),3,pos
168,":""(",-5,neg
169,:#,-2,neg
170,:'(,-3,neg
171,:'),3,pos
172,:(,-3,neg
173,:((,-4,neg
174,:(((,-4,neg
175,:((((,-5,neg
176,:(((((,-5,neg
177,:((((((,-5,neg
178,:(((((((,-5,neg
179,:),3,pos
180,:)),4,pos
181,:))),4,pos
182,:)))),5,pos
183,:))))),5,pos
184,:)))))),5,pos
185,:))))))),5,pos
186,:*,5,pos
187,:-&,-2,neg
188,:-(,-4,neg
189,:-),4,pos
190,:-*,5,pos
191,:-/,-3,neg
192,:-@,-2,neg
193,:-\,-3,neg
194,:-d,2,pos
195,:-o,2,pos
196,:-p,-4,neg
197,:-s,-2,neg
198,:-|,-2,neg
199,:-},2,pos
200,:/,-2,neg
201,:3,3,pos
202,:9,4,pos
203,:[,-2,neg
204,:\,-2,neg
205,:],3,pos
206,:_(,-4,neg
207,:b),4,pos
208,:c,-4,neg
209,:d,3,pos
210,:e,-3,neg
211,:f,-3,neg
212,:o,-2,neg
213,:o(,-3,neg
214,:o),3,pos
215,:p,-4,neg
216,:s,-3,neg
217,:v,-4,neg
218,:x,-3,neg
219,:|,-2,neg
220,%-(,-3,neg
221,%-),3,pos
222,(-:,3,pos
223,(:,3,pos
224,(^ ^),4,pos
225,(^-^),4,pos
226,(^.^),4,pos
227,(^_^),4,pos
228,(o:,3,pos
