,idiom,score,sentiment
0,acungi jempol,5,pos
1,anak alay,-4,neg
2,anak emas,4,pos
3,banting tulang,2,pos
4,banyak akal,4,pos
5,batu kubur,-4,neg
6,berbunga-bunga,4,pos
7,berdarah indonesia,1,pos
8,bersilat lidah,-4,neg
9,berteman baik,1,pos
10,besar kepala,-4,neg
11,besar mulut,-4,neg
12,buah bibir,-4,neg
13,buah hati,1,pos
14,bunga tidur,-1,neg
15,bunuh diri,-5,neg
16,campur tangan,-4,neg
17,cari perhatian,-4,neg
18,celana pendek,1,pos
19,cinta mati,5,pos
20,cuci otak,-4,neg
21,darah biru,-2,neg
22,dicuci otak,-4,neg
23,diva dunia,5,pos
24,empat mata,1,pos
25,entertainer sejati,4,pos
26,gelap mata,-4,neg
27,generasi cinta,2,pos
28,generasi muda,1,pos
29,goyang pantura,-5,neg
30,hilir mudik,-1,neg
31,jago merah,-1,neg
32,jatuh hati,4,pos
33,kambing hitam,-4,neg
34,katak dalam tempurung,-4,neg
35,kebakaran jenggot,-3,neg
36,kepala batu,-4,neg
37,keras kepala,-4,neg
38,kocok botol,-4,neg
39,kumpul kebo,-4,neg
40,lancang mulut,-4,neg
41,liang lahat,-4,neg
42,lintah darat,-4,neg
43,luar biasa,4,pos
44,lupa tanggal,-3,neg
45,lurus hati,3,pos
46,main mata,-3,neg
47,mata duitan,-4,neg
48,mata mata,-2,neg
49,mata rantai,1,pos
50,mata sapi,1,pos
51,mata-mata,-2,neg
52,meja hijau,-1,neg
53,menangkan hadiah,1,pos
54,merampok grammy,4,pos
55,merasa lebih tahu,-4,neg
56,naik darah,4,pos
57,oke deh,1,pos
58,omong doang,-4,neg
59,orang gila,-4,neg
60,otak udang,-4,neg
61,panas hati,-4,neg
62,panjang tangan,-4,neg
63,papan atas,4,pos
64,pasang mata,1,pos
65,pelosok nusantara,1,pos
66,pemberitaan palsu,-5,neg
67,pendek akal,-4,neg
68,pendek pikiran,-4,neg
69,pendek umur,-3,neg
70,penggemar berat,5,pos
71,penyanyi berkelas internasional,5,pos
72,percaya diri,4,pos
73,ramai diperbincangkan,4,pos
74,rendah hati,4,pos
75,ringan mulut,-4,neg
76,ringan tangan,-4,neg
77,salah satu,-1,neg
78,selamat beristirahat,1,pos
79,selamat malam,1,pos
80,selamat pagi,1,pos
81,selamat siang,1,pos
82,selamat sore,1,pos
83,tangan besi,3,pos
84,tangan kanan,1,pos
85,tebal muka,-3,neg
86,tempat ibadah,1,pos
87,terima kasih,4,pos
88,tinggi hati,-4,neg
89,tuhan memberkati,5,pos
90,tukang tipu,-5,neg
91,turun tangan,3,pos
