word,score,sentiment
abadi,5,pos
absen,-3,neg
abu-abu,-1,neg
acuh,4,pos
adil,5,pos
aduh,-2,neg
agresi,-5,neg
aib,-5,neg
ajaib,3,pos
ajar,4,pos
akal,4,pos
alasan,-2,neg
alibi,-4,neg
alien,-1,neg
aman,4,pos
ambigu,-3,neg
ambisi,-2,neg
amoral,-5,neg
anarki,-5,neg
anarkis,-5,neg
ancaman,-5,neg
aneh,-2,neg
anggun,4,pos
angkuh,-5,neg
anjing,-4,neg
anomali,-3,neg
antagoni,-4,neg
anti-sosial,-4,neg
antipati,-5,neg
apes,-4,neg
api,-1,neg
arogan,-5,neg
asam,-1,neg
asap,-2,neg
asing,-4,neg
asli,4,pos
asmara,4,pos
astaga,-5,neg
asyik,4,pos
autentik,4,pos
aversi,-4,neg
awas,-4,neg
awur,-4,neg
ayam,1,pos
ayu,4,pos
azab,-5,neg
babu,-5,neg
bacot,-5,neg
badai,-4,neg
badut,-2,neg
bagus,4,pos
bahagia,4,pos
bahaya,-4,neg
baik,4,pos
bail,-2,neg
bajingan,-5,neg
bakat,3,pos
banci,-4,neg
bandel,-4,neg
bandit,-4,neg
bangga,4,pos
bangkrut,-5,neg
banjir,-4,neg
barbari,-5,neg
basi,-4,neg
batu,-1,neg
bau,-4,neg
baut,1,pos
bawaan,-1,neg
bawah,-1,neg
bayaran,-3,neg
beban,-2,neg
bego,-5,neg
bekas,-4,neg
bekicot,-4,neg
belahan,-1,neg
benar,4,pos
bencana,-4,neg
benci,-5,neg
bencong,-5,neg
bendahara,-1,neg
bengkok,-2,neg
bening,3,pos
bentrok,-4,neg
beradab,5,pos
beradaptasi,4,pos
beragam,4,pos
berani,4,pos
berantakan,-4,neg
berapi-api,1,pos
berarti,3,pos
berat,-2,neg
berbagi,5,pos
berbahaya,-4,neg
berbakat,5,pos
berbalik,1,pos
berbaring,1,pos
berbeda,1,pos
berbisa,-4,neg
berbohong,-5,neg
berbuih,-1,neg
bercanda,3,pos
bercinta,4,pos
berdalih,-3,neg
berdarah,-2,neg
berdaya,4,pos
berdetak,1,pos
berdosa,-4,neg
berduka,-4,neg
berduri,-2,neg
bergembira,4,pos
bergeming,-1,neg
bergerak,4,pos
bergulat,-2,neg
bergumam,1,pos
berguna,4,pos
berharap,-1,neg
berharga,4,pos
berhasil,5,pos
berhenti,-1,neg
berisiko,-2,neg
berjanji,-1,neg
berjuang,4,pos
